Image Name,PSNR (dB),SSIM
im_0026_s95_a06,10.6594,0.5721
im_0027_s100_a04,16.3142,0.5476
im_0027_s100_a05,14.1927,0.4936
im_0027_s100_a06,18.4717,0.6854
im_0027_s80_a04,20.2951,0.6865
im_0027_s80_a05,18.8817,0.7192
im_0027_s80_a06,11.5412,0.5639
im_0027_s85_a04,19.1976,0.5536
im_0027_s85_a05,12.4795,0.5196
im_0027_s85_a06,19.5561,0.6936
im_0027_s90_a04,12.4511,0.5682
im_0027_s90_a05,18.4662,0.6505
im_0027_s90_a06,17.7344,0.6106
im_0027_s95_a04,18.1806,0.5191
im_0027_s95_a05,19.5635,0.5694
im_0027_s95_a06,17.8330,0.5599
im_0028_s100_a04,14.4998,0.3951
im_0028_s100_a05,14.5612,0.5317
im_0028_s100_a06,9.6454,0.4557
im_0028_s80_a04,16.0145,0.4494
im_0028_s80_a05,16.6289,0.4615
im_0028_s80_a06,8.2049,0.4910
im_0028_s85_a04,10.8888,0.5551
im_0028_s85_a05,13.1444,0.4921
im_0028_s85_a06,16.5302,0.4935
im_0028_s90_a04,16.3317,0.4112
im_0028_s90_a05,9.5593,0.4750
im_0028_s90_a06,9.4453,0.4917
im_0028_s95_a04,16.8653,0.5478
im_0028_s95_a05,12.3496,0.5481
im_0028_s95_a06,10.6510,0.5038
im_0029_s100_a04,12.6515,0.5447
im_0029_s100_a05,12.1797,0.5322
im_0029_s100_a06,10.5800,0.5480
im_0029_s80_a04,10.5877,0.5448
im_0029_s80_a05,11.6348,0.5853
im_0029_s80_a06,12.0890,0.6015
im_0029_s85_a04,12.6731,0.6349
im_0029_s85_a05,13.4222,0.6253
im_0029_s85_a06,13.9010,0.6767
im_0029_s90_a04,13.4283,0.5550
im_0029_s90_a05,11.1983,0.4944
im_0029_s90_a06,9.2787,0.5083
im_0029_s95_a04,12.0999,0.6096
im_0029_s95_a05,12.0384,0.6201
im_0029_s95_a06,11.6166,0.6161
im_0030_s100_a04,13.4074,0.6157
im_0030_s100_a05,10.3089,0.5106
im_0030_s100_a06,9.7934,0.5509
im_0030_s80_a04,16.6270,0.6421
im_0030_s80_a05,13.4458,0.6383
im_0030_s80_a06,10.3230,0.5311
im_0030_s85_a04,10.9728,0.4883
im_0030_s85_a05,14.1672,0.5360
im_0030_s85_a06,19.0481,0.7141
im_0030_s90_a04,15.1132,0.6388
im_0030_s90_a05,10.0405,0.5571
im_0030_s90_a06,15.6261,0.5877
im_0030_s95_a04,11.9332,0.5416
im_0030_s95_a05,10.5320,0.4988
im_0030_s95_a06,10.8849,0.4814
im_0031_s100_a04,11.8387,0.5515
im_0031_s100_a05,11.4241,0.4810
im_0031_s100_a06,11.8276,0.4564
im_0031_s80_a04,9.8168,0.5187
im_0031_s80_a05,16.5415,0.6846
im_0031_s80_a06,18.8897,0.5884
im_0031_s85_a04,9.3006,0.5378
im_0031_s85_a05,18.9976,0.7107
im_0031_s85_a06,18.8544,0.5469
im_0031_s90_a04,14.1475,0.6050
im_0031_s90_a05,13.3519,0.6247
im_0031_s90_a06,17.5732,0.4877
im_0031_s95_a04,18.6916,0.6103
im_0031_s95_a05,9.4544,0.5123
im_0031_s95_a06,17.4317,0.5063
im_0032_s100_a04,14.4583,0.6233
