Image Name,PSNR (dB),SSIM
M1135_0-0_M1135_0-0-Webcam-R-005,21.2465,0.4605
M1135_0-0_M1135_0-0-Webcam-R-006,21.2470,0.4599
M1135_0-0_M1135_0-0-Webcam-R-007,21.2425,0.4596
M1135_0-0_M1135_0-0-Webcam-R-008,21.2027,0.4569
M1135_0-0_M1135_0-0-Webcam-R-009,21.2027,0.4569
M1135_0-0_M1135_0-0-Webcam-R-010,21.2293,0.4582
M1135_0-0_M1135_0-0-Webcam-R-011,21.2261,0.4584
M1135_0-0_M1135_0-0-Webcam-R-012,21.2345,0.4571
M1135_0-0_M1135_0-0-Webcam-R-013,21.1925,0.4558
M1135_0-0_M1135_0-0-Webcam-R-014,21.1994,0.4557
M1135_0-0_M1135_0-0-Webcam-R-015,21.1994,0.4557
M1135_0-0_M1135_0-0-Webcam-R-016,21.2073,0.4546
M1135_0-0_M1135_0-0-Webcam-R-017,21.2221,0.4553
M1135_0-0_M1135_0-0-Webcam-R-018,21.2205,0.4730
M1135_0-0_M1135_0-0-Webcam-R-019,21.2067,0.4729
M1135_0-0_M1135_0-0-Webcam-R-020,21.1979,0.4722
M1135_0-0_M1135_0-0-Webcam-R-021,21.1979,0.4722
M1135_0-0_M1135_0-0-Webcam-R-022,21.2096,0.4736
M1135_0-0_M1135_0-0-Webcam-R-023,21.2146,0.4732
M1135_0-0_M1135_0-0-Webcam-R-024,21.2009,0.4706
M1135_0-0_M1135_0-0-Webcam-R-025,21.2715,0.4715
M1135_0-0_M1135_0-0-Webcam-R-026,21.2672,0.4703
M1135_0-0_M1135_0-0-Webcam-R-027,21.2672,0.4703
M1135_0-0_M1135_0-0-Webcam-R-028,21.2626,0.4697
M1135_0-0_M1135_0-0-Webcam-R-029,21.2399,0.4686
M1135_0-0_M1135_0-0-Webcam-R-030,21.0967,0.4720
M1135_0-0_M1135_0-0-Webcam-R-031,21.0972,0.4710
M1135_0-0_M1135_0-0-Webcam-R-032,21.0967,0.4710
M1135_0-0_M1135_0-0-Webcam-R-033,21.0967,0.4710
M1135_0-0_M1135_0-0-Webcam-R-034,21.0784,0.4711
M1135_0-0_M1135_0-0-Webcam-R-035,21.0784,0.4711
M1135_0-0_M1135_0-0-Webcam-R-036,21.0766,0.4708
M1135_0-0_M1135_0-0-Webcam-R-037,21.0627,0.4704
M1135_0-0_M1135_0-0-Webcam-R-038,21.0850,0.4708
M1135_0-0_M1135_0-0-Webcam-R-039,21.0850,0.4708
M1135_0-0_M1135_0-0-Webcam-R-040,21.0891,0.4714
M1135_0-0_M1135_0-0-Webcam-R-041,21.0095,0.4681
M1135_0-0_M1135_0-0-Webcam-R-042,21.3057,0.4904
M1135_0-0_M1135_0-0-Webcam-R-043,21.3061,0.4871
M1135_0-0_M1135_0-0-Webcam-R-044,21.2871,0.4845
M1135_0-0_M1135_0-0-Webcam-R-045,21.2830,0.4844
M1135_0-0_M1135_0-0-Webcam-R-046,21.2648,0.4861
M1135_0-0_M1135_0-0-Webcam-R-047,21.2570,0.4859
M1135_0-0_M1135_0-0-Webcam-R-048,21.2426,0.4851
M1135_0-0_M1135_0-0-Webcam-R-049,21.2437,0.4852
M1135_0-0_M1135_0-0-Webcam-R-050,21.2446,0.4853
M1135_0-0_M1135_0-0-Webcam-R-051,21.2446,0.4853
M1135_0-0_M1135_0-0-Webcam-R-052,21.2378,0.4847
M1135_0-0_M1135_0-0-Webcam-R-053,21.2367,0.4848
M1135_0-0_M1135_0-0-Webcam-R-054,21.2325,0.4846
M1135_0-0_M1135_0-0-Webcam-R-055,21.2262,0.4837
M1135_0-0_M1135_0-0-Webcam-R-056,21.2301,0.4837
M1135_0-0_M1135_0-0-Webcam-R-057,21.2301,0.4837
M1135_0-0_M1135_0-0-Webcam-R-058,21.2382,0.4841
M1135_0-0_M1135_0-0-Webcam-R-059,21.2233,0.4839
M1135_0-0_M1135_0-0-Webcam-R-060,21.1997,0.4804
M1135_0-0_M1135_0-0-Webcam-R-061,21.1971,0.4797
M1135_0-0_M1135_0-0-Webcam-R-062,21.1905,0.4785
