Image Name,PSNR (dB),SSIM
877,26.8604,0.7921
878,18.6506,0.6480
879,27.6492,0.8940
88,26.6743,0.9052
880,34.6914,0.8532
881,21.6891,0.7506
882,28.5034,0.9169
883,17.1349,0.5629
884,21.8700,0.7472
885,19.2017,0.7072
886,20.2627,0.7247
887,24.1972,0.7421
888,21.3256,0.7779
889,25.0996,0.7735
89,22.3441,0.7488
890,27.7005,0.9385
891,25.3308,0.8496
892,26.0914,0.8651
893,32.4794,0.9464
894,26.8641,0.7779
895,21.4579,0.8420
896,23.8669,0.7145
897,22.3433,0.6947
898,23.0327,0.8073
899,22.4068,0.7496
9,29.2113,0.8849
90,19.9964,0.8019
900,29.3716,0.8419
901,19.9312,0.7620
902,20.7081,0.7647
903,22.8657,0.7982
904,24.5368,0.7343
905,25.2181,0.9053
906,20.3235,0.7660
907,24.5108,0.7306
908,25.0834,0.7181
909,28.4586,0.8337
91,26.0749,0.8545
910,26.2900,0.8793
911,19.5021,0.5447
912,25.1442,0.8560
913,21.4199,0.5660
914,25.5072,0.7953
915,26.3434,0.8198
916,26.5661,0.8491
917,27.5256,0.8495
918,27.5731,0.8197
919,22.4254,0.7550
92,29.8729,0.9384
920,28.6135,0.9239
921,27.7400,0.8867
922,23.8161,0.8166
923,27.6299,0.8436
924,24.5524,0.8491
925,27.5859,0.8728
926,26.8235,0.8293
927,25.3146,0.8528
928,27.0768,0.8648
929,22.2621,0.9060
93,22.9827,0.7539
930,17.3815,0.6729
931,26.0126,0.8339
932,22.8591,0.8714
933,29.2341,0.9393
934,23.9917,0.8329
935,22.5296,0.7018
936,26.6709,0.8512
937,26.9960,0.9039
938,30.8571,0.9052
939,26.8146,0.7984
94,27.7836,0.8208
940,24.0748,0.7075
941,25.6166,0.9248
942,28.8111,0.8902
943,23.2924,0.8039
944,22.7807,0.7959
945,25.2599,0.6795
946,26.3640,0.8024
947,28.2349,0.8609
