Image Name,PSNR (dB),SSIM
rainstreak_rain-377,23.3264,0.7233
rainstreak_rain-395,22.6382,0.6248
rainstreak_rain-425,21.7440,0.5907
rainstreak_rain-436,18.0452,0.5955
rainstreak_rain-487,18.5425,0.4527
rainstreak_rain-488,24.8456,0.6630
rainstreak_rain-489,22.3733,0.5894
rainstreak_rain-490,20.7547,0.5731
rainstreak_rain-491,17.8726,0.4791
rainstreak_rain-492,18.9795,0.5151
rainstreak_rain-493,19.7869,0.5027
rainstreak_rain-494,23.1357,0.6738
rainstreak_rain-495,19.9077,0.5846
rainstreak_rain-496,21.5557,0.5872
rainstreak_rain-497,21.4528,0.5083
rainstreak_rain-498,18.6654,0.4805
rainstreak_rain-499,18.8314,0.4701
rainstreak_rain-50,17.8271,0.5612
rainstreak_rain-500,18.7446,0.4585
rainstreak_rain-501,22.7823,0.5816
rainstreak_rain-502,20.8564,0.5553
rainstreak_rain-503,21.6738,0.5534
rainstreak_rain-504,21.4353,0.5469
rainstreak_rain-505,21.7327,0.5667
rainstreak_rain-506,21.6908,0.5221
rainstreak_rain-507,19.3194,0.4582
rainstreak_rain-508,21.3061,0.4914
rainstreak_rain-509,22.8610,0.5381
rainstreak_rain-510,19.3246,0.4808
rainstreak_rain-511,19.2837,0.5208
rainstreak_rain-512,22.0717,0.5477
rainstreak_rain-513,22.3089,0.5336
rainstreak_rain-514,16.9171,0.4190
rainstreak_rain-515,21.8194,0.5248
rainstreak_rain-516,21.5501,0.5080
rainstreak_rain-517,19.9296,0.4684
rainstreak_rain-518,20.3454,0.5878
rainstreak_rain-519,19.1446,0.5398
rainstreak_rain-520,21.2766,0.5485
rainstreak_rain-521,16.6368,0.4539
rainstreak_rain-522,22.8007,0.6254
rainstreak_rain-523,21.5128,0.5834
rainstreak_rain-524,21.4225,0.5941
rainstreak_rain-525,19.3042,0.5559
rainstreak_rain-60,20.2556,0.6179
rainstreak_rain-61,20.5580,0.5877
rainstreak_rain-62,21.8213,0.6194
rainstreak_rain-63,23.0187,0.6447
rainstreak_rain-64,18.6208,0.5487
rainstreak_rain-65,17.5904,0.5069
rainstreak_rain-66,20.6841,0.6274
rainstreak_rain-67,22.2748,0.6338
rainstreak_rain-68,19.1030,0.5755
rainstreak_rain-69,21.6226,0.5920
rainstreak_rain-70,22.3729,0.6317
