# NDR-Restore GT-Rain Evaluation Results,,,
,,,
# Model Information,,,
Model,NDR-Restore,,
Test Dataset,GT-Rain,,
,,,
# Overall Metrics,,,
Total Images,2100,,
Average PSNR (dB),21.2411,,
Average SSIM,0.5948,,
,,,
# Per-Image Results,,,
Image Name,GT Name,PSNR (dB),SSIM
Gurutto_0-0-Webcam-R-131.png,Gurutto_0-0-Webcam-C-000.png,25.6421,0.7668
Gurutto_0-0-Webcam-R-132.png,Gurutto_0-0-Webcam-C-000.png,25.6421,0.7668
Gurutto_0-0-Webcam-R-133.png,Gurutto_0-0-Webcam-C-000.png,25.4709,0.7682
Gurutto_0-0-Webcam-R-134.png,Gurutto_0-0-Webcam-C-000.png,25.4272,0.7663
Gurutto_0-0-Webcam-R-135.png,Gurutto_0-0-Webcam-C-000.png,25.3893,0.7656
Gurutto_0-0-Webcam-R-136.png,Gurutto_0-0-Webcam-C-000.png,25.5521,0.7636
Gurutto_0-0-Webcam-R-137.png,Gurutto_0-0-Webcam-C-000.png,25.3395,0.7567
Gurutto_0-0-Webcam-R-138.png,Gurutto_0-0-Webcam-C-000.png,25.3395,0.7567
Gurutto_0-0-Webcam-R-139.png,Gurutto_0-0-Webcam-C-000.png,25.5463,0.7634
Gurutto_0-0-Webcam-R-140.png,Gurutto_0-0-Webcam-C-000.png,25.4805,0.7593
Gurutto_0-0-Webcam-R-141.png,Gurutto_0-0-Webcam-C-000.png,25.5228,0.7632
Gurutto_0-0-Webcam-R-142.png,Gurutto_0-0-Webcam-C-000.png,25.5346,0.7631
Gurutto_0-0-Webcam-R-143.png,Gurutto_0-0-Webcam-C-000.png,25.1306,0.7591
Gurutto_0-0-Webcam-R-144.png,Gurutto_0-0-Webcam-C-000.png,25.1306,0.7591
Gurutto_0-0-Webcam-R-145.png,Gurutto_0-0-Webcam-C-000.png,25.3192,0.762
Gurutto_0-0-Webcam-R-146.png,Gurutto_0-0-Webcam-C-000.png,25.2256,0.7607
Gurutto_0-0-Webcam-R-147.png,Gurutto_0-0-Webcam-C-000.png,25.4681,0.7659
Gurutto_0-0-Webcam-R-148.png,Gurutto_0-0-Webcam-C-000.png,25.5963,0.7637
Gurutto_0-0-Webcam-R-149.png,Gurutto_0-0-Webcam-C-000.png,25.4384,0.7618
Gurutto_0-0-Webcam-R-150.png,Gurutto_0-0-Webcam-C-000.png,25.5928,0.7755
Gurutto_0-0-Webcam-R-151.png,Gurutto_0-0-Webcam-C-000.png,25.6117,0.7755
Gurutto_0-0-Webcam-R-152.png,Gurutto_0-0-Webcam-C-000.png,25.5838,0.7768
Gurutto_0-0-Webcam-R-153.png,Gurutto_0-0-Webcam-C-000.png,25.95,0.7795
Gurutto_0-0-Webcam-R-154.png,Gurutto_0-0-Webcam-C-000.png,25.856,0.7775
Gurutto_0-0-Webcam-R-155.png,Gurutto_0-0-Webcam-C-000.png,25.8193,0.7788
Gurutto_0-0-Webcam-R-156.png,Gurutto_0-0-Webcam-C-000.png,25.8186,0.7788
Gurutto_0-0-Webcam-R-157.png,Gurutto_0-0-Webcam-C-000.png,25.6889,0.773
Gurutto_0-0-Webcam-R-158.png,Gurutto_0-0-Webcam-C-000.png,25.7049,0.7723
Gurutto_0-0-Webcam-R-159.png,Gurutto_0-0-Webcam-C-000.png,25.4824,0.7668
Gurutto_0-0-Webcam-R-160.png,Gurutto_0-0-Webcam-C-000.png,25.6803,0.7652
Gurutto_0-0-Webcam-R-161.png,Gurutto_0-0-Webcam-C-000.png,25.5789,0.7665
Gurutto_0-0-Webcam-R-162.png,Gurutto_0-0-Webcam-C-000.png,25.5789,0.7665
Gurutto_0-0-Webcam-R-163.png,Gurutto_0-0-Webcam-C-000.png,25.6758,0.766
Gurutto_0-0-Webcam-R-164.png,Gurutto_0-0-Webcam-C-000.png,25.4368,0.761
Gurutto_0-0-Webcam-R-165.png,Gurutto_0-0-Webcam-C-000.png,25.5993,0.7737
Gurutto_0-0-Webcam-R-166.png,Gurutto_0-0-Webcam-C-000.png,25.9273,0.7749
Gurutto_0-0-Webcam-R-167.png,Gurutto_0-0-Webcam-C-000.png,25.727,0.7729
Gurutto_0-0-Webcam-R-168.png,Gurutto_0-0-Webcam-C-000.png,25.7276,0.7729
Gurutto_0-0-Webcam-R-169.png,Gurutto_0-0-Webcam-C-000.png,25.7726,0.7699
Gurutto_0-0-Webcam-R-170.png,Gurutto_0-0-Webcam-C-000.png,25.9275,0.7758
Gurutto_0-0-Webcam-R-171.png,Gurutto_0-0-Webcam-C-000.png,25.8627,0.7721
Gurutto_0-0-Webcam-R-172.png,Gurutto_0-0-Webcam-C-000.png,25.8259,0.7698
Gurutto_0-0-Webcam-R-173.png,Gurutto_0-0-Webcam-C-000.png,25.8608,0.77
Gurutto_0-0-Webcam-R-174.png,Gurutto_0-0-Webcam-C-000.png,25.8662,0.7703
Gurutto_0-0-Webcam-R-175.png,Gurutto_0-0-Webcam-C-000.png,25.7152,0.7674
Gurutto_0-0-Webcam-R-176.png,Gurutto_0-0-Webcam-C-000.png,25.5844,0.7648
Gurutto_0-0-Webcam-R-177.png,Gurutto_0-0-Webcam-C-000.png,25.7097,0.765
Gurutto_0-0-Webcam-R-178.png,Gurutto_0-0-Webcam-C-000.png,25.5465,0.7615
Gurutto_0-0-Webcam-R-179.png,Gurutto_0-0-Webcam-C-000.png,25.7314,0.7664
Gurutto_0-0-Webcam-R-180.png,Gurutto_0-0-Webcam-C-000.png,25.7315,0.7663
Gurutto_0-0-Webcam-R-181.png,Gurutto_0-0-Webcam-C-000.png,25.3477,0.7562
Gurutto_0-0-Webcam-R-182.png,Gurutto_0-0-Webcam-C-000.png,25.6192,0.76
Gurutto_0-0-Webcam-R-183.png,Gurutto_0-0-Webcam-C-000.png,25.5421,0.763
Gurutto_0-0-Webcam-R-184.png,Gurutto_0-0-Webcam-C-000.png,25.7944,0.763
Gurutto_0-0-Webcam-R-185.png,Gurutto_0-0-Webcam-C-000.png,25.6926,0.759
Gurutto_0-0-Webcam-R-186.png,Gurutto_0-0-Webcam-C-000.png,25.6914,0.7589
Gurutto_0-0-Webcam-R-187.png,Gurutto_0-0-Webcam-C-000.png,25.7314,0.7602
Gurutto_0-0-Webcam-R-188.png,Gurutto_0-0-Webcam-C-000.png,25.725,0.7596
Gurutto_0-0-Webcam-R-189.png,Gurutto_0-0-Webcam-C-000.png,25.5724,0.7549
Gurutto_0-0-Webcam-R-190.png,Gurutto_0-0-Webcam-C-000.png,25.4652,0.7512
Gurutto_0-0-Webcam-R-191.png,Gurutto_0-0-Webcam-C-000.png,25.5489,0.7537
Gurutto_0-0-Webcam-R-192.png,Gurutto_0-0-Webcam-C-000.png,25.5487,0.7538
Gurutto_0-0-Webcam-R-193.png,Gurutto_0-0-Webcam-C-000.png,25.7525,0.7566
Gurutto_0-0-Webcam-R-194.png,Gurutto_0-0-Webcam-C-000.png,25.7351,0.7577
Gurutto_0-0-Webcam-R-195.png,Gurutto_0-0-Webcam-C-000.png,25.737,0.7571
Gurutto_0-0-Webcam-R-196.png,Gurutto_0-0-Webcam-C-000.png,25.7012,0.7568
Gurutto_0-0-Webcam-R-197.png,Gurutto_0-0-Webcam-C-000.png,25.5691,0.7536
Gurutto_0-0-Webcam-R-198.png,Gurutto_0-0-Webcam-C-000.png,25.5691,0.7536
Gurutto_0-0-Webcam-R-199.png,Gurutto_0-0-Webcam-C-000.png,25.4036,0.7474
Gurutto_0-0-Webcam-R-200.png,Gurutto_0-0-Webcam-C-000.png,25.4566,0.7489
Gurutto_0-0-Webcam-R-201.png,Gurutto_0-0-Webcam-C-000.png,25.641,0.7538
Gurutto_0-0-Webcam-R-202.png,Gurutto_0-0-Webcam-C-000.png,25.6255,0.7512
Gurutto_0-0-Webcam-R-203.png,Gurutto_0-0-Webcam-C-000.png,25.4794,0.7492
Gurutto_0-0-Webcam-R-204.png,Gurutto_0-0-Webcam-C-000.png,25.4813,0.7493
Gurutto_0-0-Webcam-R-205.png,Gurutto_0-0-Webcam-C-000.png,25.5864,0.7515
Gurutto_0-0-Webcam-R-206.png,Gurutto_0-0-Webcam-C-000.png,25.6192,0.7519
Gurutto_0-0-Webcam-R-207.png,Gurutto_0-0-Webcam-C-000.png,25.4847,0.7504
Gurutto_0-0-Webcam-R-208.png,Gurutto_0-0-Webcam-C-000.png,25.5335,0.7514
Gurutto_0-0-Webcam-R-209.png,Gurutto_0-0-Webcam-C-000.png,25.3571,0.7471
Gurutto_0-0-Webcam-R-210.png,Gurutto_0-0-Webcam-C-000.png,25.3571,0.7471
Gurutto_0-0-Webcam-R-211.png,Gurutto_0-0-Webcam-C-000.png,25.3631,0.7498
Gurutto_0-0-Webcam-R-212.png,Gurutto_0-0-Webcam-C-000.png,25.5871,0.7525
Gurutto_0-0-Webcam-R-213.png,Gurutto_0-0-Webcam-C-000.png,25.353,0.7495
Gurutto_0-0-Webcam-R-214.png,Gurutto_0-0-Webcam-C-000.png,25.5131,0.7549
Gurutto_0-0-Webcam-R-215.png,Gurutto_0-0-Webcam-C-000.png,25.3652,0.7499
Gurutto_0-0-Webcam-R-216.png,Gurutto_0-0-Webcam-C-000.png,25.3652,0.7499
Gurutto_0-0-Webcam-R-217.png,Gurutto_0-0-Webcam-C-000.png,25.0234,0.7449
Gurutto_0-0-Webcam-R-218.png,Gurutto_0-0-Webcam-C-000.png,25.2833,0.7495
Gurutto_0-0-Webcam-R-219.png,Gurutto_0-0-Webcam-C-000.png,25.4375,0.7497
Gurutto_0-0-Webcam-R-220.png,Gurutto_0-0-Webcam-C-000.png,25.5421,0.7539
Gurutto_0-0-Webcam-R-221.png,Gurutto_0-0-Webcam-C-000.png,25.4739,0.7503
Gurutto_0-0-Webcam-R-222.png,Gurutto_0-0-Webcam-C-000.png,25.4737,0.7503
Gurutto_0-0-Webcam-R-223.png,Gurutto_0-0-Webcam-C-000.png,25.6163,0.7551
Gurutto_0-0-Webcam-R-224.png,Gurutto_0-0-Webcam-C-000.png,25.5447,0.7575
Gurutto_0-0-Webcam-R-225.png,Gurutto_0-0-Webcam-C-000.png,25.6653,0.7564
Gurutto_0-0-Webcam-R-226.png,Gurutto_0-0-Webcam-C-000.png,25.7032,0.7574
Gurutto_0-0-Webcam-R-227.png,Gurutto_0-0-Webcam-C-000.png,25.5675,0.7532
