# NDR-Restore Outdoor-Rain Evaluation Results,,,
,,,
# Model Information,,,
Model,NDR-Restore,,
Test Dataset,Outdoor-Rain,,
,,,
# Overall Metrics,,,
Total Images,9000,,
Average PSNR (dB),15.8696,,
Average SSIM,0.6363,,
,,,
# Per-Image Results,,,
Rainy Image Name,GT Name,PSNR (dB),SSIM
im_0029_s95_a05.png,im_0029.png,8.2778,0.555
im_0029_s95_a06.png,im_0029.png,7.7825,0.5312
im_0030_s100_a04.png,im_0030.png,17.6241,0.7783
im_0030_s100_a05.png,im_0030.png,20.0336,0.679
im_0030_s100_a06.png,im_0030.png,20.6224,0.7901
im_0030_s80_a04.png,im_0030.png,16.9027,0.6612
im_0030_s80_a05.png,im_0030.png,23.6123,0.83
im_0030_s80_a06.png,im_0030.png,23.6084,0.7709
im_0030_s85_a04.png,im_0030.png,18.9213,0.6104
im_0030_s85_a05.png,im_0030.png,17.9348,0.5834
im_0030_s85_a06.png,im_0030.png,16.274,0.6945
im_0030_s90_a04.png,im_0030.png,18.3539,0.751
im_0030_s90_a05.png,im_0030.png,23.2858,0.8035
im_0030_s90_a06.png,im_0030.png,18.3421,0.6282
