# NDR-Restore RainDS_syn Evaluation Results,,,,
,,,,
# Model Information,,,,
Model,NDR-Restore,,,
Test Dataset,RainDS_syn,,,
,,,,
# Overall Metrics Summary,,,,
Rain Type,Image Count,Average PSNR (dB),Average SSIM,
Raindrop,200,20.045,0.7713,
Rainstreak,200,22.4901,0.6714,
Rainstreak Raindrop,200,18.4167,0.5715,
Overall,600,20.3173,0.6714,
,,,,
# Per-Image Results,,,,
Image Name,GT Name,Rain Type,PSNR (dB),SSIM
pie-rain-8.png,pie-norain-8.png,rainstreak,21.0246,0.7531
pie-rain-83.png,pie-norain-83.png,rainstreak,25.1013,0.7934
pie-rain-84.png,pie-norain-84.png,rainstreak,26.6169,0.8131
pie-rain-98.png,pie-norain-98.png,rainstreak,22.8505,0.7377
rain-108.png,norain-108.png,rainstreak,19.2523,0.5719
rain-153.png,norain-153.png,rainstreak,24.9592,0.7334
rain-16.png,norain-16.png,rainstreak,18.8584,0.5396
rain-160.png,norain-160.png,rainstreak,20.1597,0.6631
rain-161.png,norain-161.png,rainstreak,24.3591,0.7185
rain-162.png,norain-162.png,rainstreak,20.9522,0.6782
rain-163.png,norain-163.png,rainstreak,24.7881,0.7304
rain-164.png,norain-164.png,rainstreak,25.4184,0.7523
rain-165.png,norain-165.png,rainstreak,22.5151,0.6841
rain-166.png,norain-166.png,rainstreak,21.5798,0.6779
rain-167.png,norain-167.png,rainstreak,24.0566,0.7354
rain-168.png,norain-168.png,rainstreak,21.2503,0.6893
rain-169.png,norain-169.png,rainstreak,25.7569,0.7504
rain-180.png,norain-180.png,rainstreak,23.897,0.7051
rain-2.png,norain-2.png,rainstreak,20.6218,0.505
rain-203.png,norain-203.png,rainstreak,24.0057,0.6644
rain-237.png,norain-237.png,rainstreak,18.7624,0.5775
rain-256.png,norain-256.png,rainstreak,22.9474,0.6497
rain-260.png,norain-260.png,rainstreak,19.3908,0.6827
rain-261.png,norain-261.png,rainstreak,23.7525,0.7336
rain-262.png,norain-262.png,rainstreak,21.2319,0.6132
rain-263.png,norain-263.png,rainstreak,18.5709,0.5938
rain-264.png,norain-264.png,rainstreak,19.2791,0.5759
rain-265.png,norain-265.png,rainstreak,20.1222,0.5637
rain-266.png,norain-266.png,rainstreak,21.939,0.5607
rain-267.png,norain-267.png,rainstreak,16.8145,0.4973
rain-268.png,norain-268.png,rainstreak,18.529,0.5373
rain-269.png,norain-269.png,rainstreak,21.2426,0.6326
rain-274.png,norain-274.png,rainstreak,18.8945,0.6031
rain-305.png,norain-305.png,rainstreak,19.4165,0.5137
rain-317.png,norain-317.png,rainstreak,22.0436,0.5373
rain-318.png,norain-318.png,rainstreak,23.1075,0.5581
rain-354.png,norain-354.png,rainstreak,23.441,0.6877
rain-360.png,norain-360.png,rainstreak,21.2897,0.6065
rain-361.png,norain-361.png,rainstreak,22.231,0.6003
rain-362.png,norain-362.png,rainstreak,17.6918,0.4408
rain-363.png,norain-363.png,rainstreak,20.4725,0.4922
rain-364.png,norain-364.png,rainstreak,18.5555,0.4911
rain-365.png,norain-365.png,rainstreak,22.7549,0.566
rain-366.png,norain-366.png,rainstreak,18.9311,0.516
rain-367.png,norain-367.png,rainstreak,21.2212,0.5639
rain-368.png,norain-368.png,rainstreak,21.661,0.5705
rain-369.png,norain-369.png,rainstreak,20.4267,0.567
rain-377.png,norain-377.png,rainstreak,23.6247,0.6818
rain-395.png,norain-395.png,rainstreak,23.0387,0.6172
rain-425.png,norain-425.png,rainstreak,22.1907,0.5977
rain-436.png,norain-436.png,rainstreak,17.6501,0.5621
rain-487.png,norain-487.png,rainstreak,18.4722,0.4789
rain-488.png,norain-488.png,rainstreak,24.7188,0.6901
rain-489.png,norain-489.png,rainstreak,22.1023,0.5977
rain-490.png,norain-490.png,rainstreak,19.6681,0.5867
rain-491.png,norain-491.png,rainstreak,17.9496,0.5044
rain-492.png,norain-492.png,rainstreak,18.8405,0.5398
rain-493.png,norain-493.png,rainstreak,20.2604,0.5215
rain-494.png,norain-494.png,rainstreak,23.0604,0.6604
rain-495.png,norain-495.png,rainstreak,18.3336,0.5652
rain-496.png,norain-496.png,rainstreak,21.6553,0.5688
rain-497.png,norain-497.png,rainstreak,21.4658,0.504
rain-498.png,norain-498.png,rainstreak,17.8261,0.4698
rain-499.png,norain-499.png,rainstreak,17.7529,0.4604
rain-50.png,norain-50.png,rainstreak,17.5421,0.5611
rain-500.png,norain-500.png,rainstreak,18.3543,0.473
rain-501.png,norain-501.png,rainstreak,22.6714,0.5867
rain-502.png,norain-502.png,rainstreak,19.5006,0.5747
rain-503.png,norain-503.png,rainstreak,21.6989,0.569
rain-504.png,norain-504.png,rainstreak,21.4094,0.5554
rain-505.png,norain-505.png,rainstreak,21.6423,0.5681
rain-506.png,norain-506.png,rainstreak,22.223,0.532
rain-507.png,norain-507.png,rainstreak,20.7611,0.541
rain-508.png,norain-508.png,rainstreak,20.8109,0.4982
rain-509.png,norain-509.png,rainstreak,26.7559,0.7035
rain-510.png,norain-510.png,rainstreak,18.0477,0.4872
rain-511.png,norain-511.png,rainstreak,19.4888,0.5633
rain-512.png,norain-512.png,rainstreak,22.1233,0.5659
rain-513.png,norain-513.png,rainstreak,22.6977,0.5585
rain-514.png,norain-514.png,rainstreak,22.011,0.6829
rain-515.png,norain-515.png,rainstreak,23.3267,0.5951
rain-516.png,norain-516.png,rainstreak,24.4089,0.618
rain-517.png,norain-517.png,rainstreak,20.543,0.5114
rain-518.png,norain-518.png,rainstreak,20.5818,0.6244
rain-519.png,norain-519.png,rainstreak,19.2827,0.5321
rain-520.png,norain-520.png,rainstreak,19.7354,0.5394
rain-521.png,norain-521.png,rainstreak,16.7079,0.483
rain-522.png,norain-522.png,rainstreak,23.0804,0.6143
rain-523.png,norain-523.png,rainstreak,21.4294,0.573
rain-524.png,norain-524.png,rainstreak,21.7052,0.5918
rain-525.png,norain-525.png,rainstreak,18.5302,0.5475
rain-60.png,norain-60.png,rainstreak,20.3055,0.6375
rain-61.png,norain-61.png,rainstreak,20.8387,0.587
rain-62.png,norain-62.png,rainstreak,22.1254,0.612
rain-63.png,norain-63.png,rainstreak,23.4492,0.6415
rain-64.png,norain-64.png,rainstreak,18.152,0.5777
rain-65.png,norain-65.png,rainstreak,17.2245,0.5387
rain-66.png,norain-66.png,rainstreak,20.5782,0.6368
rain-67.png,norain-67.png,rainstreak,22.6621,0.6465
rain-68.png,norain-68.png,rainstreak,18.6809,0.5782
rain-69.png,norain-69.png,rainstreak,21.9423,0.5976
rain-70.png,norain-70.png,rainstreak,22.8779,0.6337
rain-74.png,norain-74.png,rainstreak,24.1253,0.6804
