# RLP Evaluation Results - RainDS_syn,,,
# Model:,Uformer_T_RLP_RPIM,,
# Date:,22-02-2026 04:56,,
,,,
# Summary,,,
Total Images,600,,
Failed,0,,
Average PSNR (dB),20.2807,,
Average SSIM,0.6775,,
,,,
# Per-Image Results,,,
Image Name,GT Name,PSNR (dB),SSIM
rainstreak_pie-rain-483.png,pie-norain-483.png,20.8968,0.6719
rainstreak_pie-rain-487.png,pie-norain-487.png,20.3001,0.656
rainstreak_pie-rain-501.png,pie-norain-501.png,23.8273,0.7702
rainstreak_pie-rain-507.png,pie-norain-507.png,19.9324,0.6046
rainstreak_pie-rain-510.png,pie-norain-510.png,21.0351,0.671
rainstreak_pie-rain-513.png,pie-norain-513.png,24.5047,0.7899
rainstreak_pie-rain-518.png,pie-norain-518.png,21.939,0.6382
rainstreak_pie-rain-535.png,pie-norain-535.png,20.6932,0.5669
rainstreak_pie-rain-544.png,pie-norain-544.png,22.9251,0.7643
rainstreak_pie-rain-549.png,pie-norain-549.png,22.6729,0.7764
rainstreak_pie-rain-555.png,pie-norain-555.png,20.6023,0.602
rainstreak_pie-rain-560.png,pie-norain-560.png,23.505,0.7024
rainstreak_pie-rain-561.png,pie-norain-561.png,20.9948,0.5718
rainstreak_pie-rain-564.png,pie-norain-564.png,23.3817,0.6947
rainstreak_pie-rain-565.png,pie-norain-565.png,23.4595,0.709
rainstreak_pie-rain-566.png,pie-norain-566.png,20.5797,0.5629
rainstreak_pie-rain-567.png,pie-norain-567.png,20.0525,0.5726
rainstreak_pie-rain-572.png,pie-norain-572.png,20.8135,0.5745
rainstreak_pie-rain-580.png,pie-norain-580.png,22.5294,0.6763
rainstreak_pie-rain-586.png,pie-norain-586.png,23.6342,0.7042
rainstreak_pie-rain-594.png,pie-norain-594.png,21.4564,0.603
rainstreak_pie-rain-598.png,pie-norain-598.png,22.5158,0.6559
rainstreak_pie-rain-599.png,pie-norain-599.png,25.6645,0.7787
rainstreak_pie-rain-64.png,pie-norain-64.png,23.2023,0.6735
rainstreak_pie-rain-72.png,pie-norain-72.png,18.4379,0.6411
rainstreak_pie-rain-77.png,pie-norain-77.png,20.3743,0.6749
rainstreak_pie-rain-79.png,pie-norain-79.png,20.7326,0.6289
rainstreak_pie-rain-8.png,pie-norain-8.png,18.1854,0.5354
rainstreak_pie-rain-83.png,pie-norain-83.png,26.1294,0.8061
rainstreak_pie-rain-84.png,pie-norain-84.png,26.8704,0.8377
rainstreak_pie-rain-98.png,pie-norain-98.png,19.501,0.5619
rainstreak_rain-108.png,norain-108.png,19.7733,0.6344
rainstreak_rain-153.png,norain-153.png,22.2808,0.816
rainstreak_rain-16.png,norain-16.png,20.1301,0.6293
rainstreak_rain-160.png,norain-160.png,21.9422,0.7473
rainstreak_rain-161.png,norain-161.png,22.1444,0.8008
rainstreak_rain-162.png,norain-162.png,21.6013,0.7538
rainstreak_rain-163.png,norain-163.png,22.2241,0.8093
rainstreak_rain-164.png,norain-164.png,22.4104,0.8262
rainstreak_rain-165.png,norain-165.png,22.4659,0.7532
rainstreak_rain-166.png,norain-166.png,22.0784,0.7496
rainstreak_rain-167.png,norain-167.png,22.7377,0.8102
rainstreak_rain-168.png,norain-168.png,21.3411,0.7488
rainstreak_rain-169.png,norain-169.png,21.2846,0.8201
rainstreak_rain-180.png,norain-180.png,23.5417,0.8402
rainstreak_rain-2.png,norain-2.png,22.2306,0.5596
rainstreak_rain-203.png,norain-203.png,24.9814,0.7564
rainstreak_rain-237.png,norain-237.png,20.4482,0.6752
rainstreak_rain-256.png,norain-256.png,25.7745,0.7832
rainstreak_rain-260.png,norain-260.png,20.5918,0.7739
rainstreak_rain-261.png,norain-261.png,22.7571,0.8528
rainstreak_rain-262.png,norain-262.png,23.658,0.7481
rainstreak_rain-263.png,norain-263.png,21.1151,0.6932
rainstreak_rain-264.png,norain-264.png,21.4667,0.6505
rainstreak_rain-265.png,norain-265.png,21.7896,0.6203
rainstreak_rain-266.png,norain-266.png,23.9776,0.668
rainstreak_rain-267.png,norain-267.png,19.4911,0.555
rainstreak_rain-268.png,norain-268.png,19.5532,0.5751
rainstreak_rain-269.png,norain-269.png,21.2995,0.674
rainstreak_rain-274.png,norain-274.png,20.5976,0.6717
rainstreak_rain-305.png,norain-305.png,19.3664,0.5768
rainstreak_rain-317.png,norain-317.png,21.0768,0.6606
rainstreak_rain-318.png,norain-318.png,21.1534,0.6602
rainstreak_rain-354.png,norain-354.png,24.3743,0.7967
rainstreak_rain-360.png,norain-360.png,21.3926,0.7475
rainstreak_rain-361.png,norain-361.png,21.1431,0.7405
rainstreak_rain-362.png,norain-362.png,19.4252,0.5999
rainstreak_rain-363.png,norain-363.png,20.0587,0.6347
rainstreak_rain-364.png,norain-364.png,18.9235,0.6
rainstreak_rain-365.png,norain-365.png,20.8866,0.7091
rainstreak_rain-366.png,norain-366.png,19.5504,0.625
rainstreak_rain-367.png,norain-367.png,19.9756,0.6688
rainstreak_rain-368.png,norain-368.png,21.57,0.7129
rainstreak_rain-369.png,norain-369.png,21.4693,0.6753
rainstreak_rain-377.png,norain-377.png,25.2062,0.7942
rainstreak_rain-395.png,norain-395.png,19.8561,0.6621
rainstreak_rain-425.png,norain-425.png,20.8535,0.6976
rainstreak_rain-436.png,norain-436.png,19.0625,0.6706
rainstreak_rain-487.png,norain-487.png,19.9344,0.5461
rainstreak_rain-488.png,norain-488.png,23.1054,0.7848
rainstreak_rain-489.png,norain-489.png,21.6307,0.7112
rainstreak_rain-490.png,norain-490.png,20.9615,0.6291
rainstreak_rain-491.png,norain-491.png,20.3073,0.5739
rainstreak_rain-492.png,norain-492.png,21.0718,0.5927
